,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-5261.332,-5184.675,root_mean_squared_error,3.534255266189575,0.7562675476074219,57.91770124435425,0.008255720138549805,0.001332998275756836,0.028450965881347656,2,True,5
1,CatBoost,-5350.6597,-5308.485,root_mean_squared_error,0.13668155670166016,0.030844926834106445,37.91824674606323,0.13668155670166016,0.030844926834106445,37.91824674606323,1,True,4
2,LightGBM,-5410.6187,-5334.3022,root_mean_squared_error,0.46242427825927734,0.11355972290039062,3.070948839187622,0.46242427825927734,0.11355972290039062,3.070948839187622,1,True,2
3,LightGBMXT,-5443.2783,-5362.3096,root_mean_squared_error,1.728731632232666,0.35967326164245605,7.623230457305908,1.728731632232666,0.35967326164245605,7.623230457305908,1,True,1
4,RandomForestMSE,-5644.1675,-5554.4224,root_mean_squared_error,1.1981620788574219,0.2508566379547119,9.276824235916138,1.1981620788574219,0.2508566379547119,9.276824235916138,1,True,3
