,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-6697.13089274527,-6280.380713064266,root_mean_squared_error,3.4039034843444824,0.8205695152282715,380.16048765182495,0.6638584136962891,0.00029015541076660156,0.0100555419921875,2,True,10
1,CatBoost,-6758.993098030732,-6568.598424815076,root_mean_squared_error,0.028951168060302734,0.029581785202026367,152.90689373016357,0.028951168060302734,0.029581785202026367,152.90689373016357,1,True,7
2,LightGBMXT,-6864.414034409444,-6506.508773498801,root_mean_squared_error,0.14664649963378906,0.2927718162536621,6.209750413894653,0.14664649963378906,0.2927718162536621,6.209750413894653,1,True,4
3,LightGBM,-6893.929384635206,-6526.963475983075,root_mean_squared_error,0.036286354064941406,0.06885981559753418,3.539862632751465,0.036286354064941406,0.06885981559753418,3.539862632751465,1,True,1
4,LightGBMLarge,-6956.73661048235,-6482.684526655098,root_mean_squared_error,0.03882789611816406,0.09062409400939941,4.865395784378052,0.03882789611816406,0.09062409400939941,4.865395784378052,1,True,3
5,ExtraTreesMSE,-7005.287839483092,-6565.595670265439,root_mean_squared_error,0.4795260429382324,0.3207705020904541,7.153035402297974,0.4795260429382324,0.3207705020904541,7.153035402297974,1,True,5
6,XGBoost,-7034.489886511269,-6549.600873750267,root_mean_squared_error,0.056160688400268555,0.025417566299438477,42.94899940490723,0.056160688400268555,0.025417566299438477,42.94899940490723,1,True,2
7,RandomForestMSE,-7236.604320590813,-6716.593804742595,root_mean_squared_error,0.35051393508911133,0.03557181358337402,7.806529760360718,0.35051393508911133,0.03557181358337402,7.806529760360718,1,True,6
8,NeuralNetFastAI,-7530.72629377118,-7239.992570367114,root_mean_squared_error,1.9899327754974365,0.061113595962524414,166.06635737419128,1.9899327754974365,0.061113595962524414,166.06635737419128,1,True,8
9,NeuralNetTorch,-7685.420735591116,-7653.632832370993,root_mean_squared_error,2.108734130859375,0.0055925846099853516,171.2245171070099,2.108734130859375,0.0055925846099853516,171.2245171070099,1,True,9
